赛季,球队,场次,时间,首发,投篮,二分命中率,三分,三分命中率,罚球,罚球命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2012,勇士,12,12,41.4,8.5-19.6,43.0%,3.5-8.8,40.0%,2.9-3.2,92.0%,3.8,8.1,1.67,0.17,3.33,2.92,23.4
2013,勇士,7,7,42.3,7.3-16.6,44.0%,3.1-8.1,39.0%,5.3-6.0,88.0%,3.6,8.4,1.71,0.14,3.71,2.57,23.0
2014,勇士,21,21,39.3,9.5-20.9,46.0%,4.7-11.0,42.0%,4.6-5.5,84.0%,5.0,6.4,1.86,0.14,3.90,2.24,28.3
2015,勇士,18,17,34.1,8.2-18.8,44.0%,4.4-11.0,40.0%,4.2-4.6,92.0%,5.5,5.2,1.44,0.28,4.17,2.17,25.1
2016,勇士,17,17,35.4,8.9-18.4,48.0%,4.2-10.1,42.0%,6.1-6.7,90.0%,6.2,6.7,2.00,0.24,3.41,2.18,28.1
2017,勇士,15,14,37.0,9.1-20.3,45.0%,4.3-10.8,40.0%,3.0-3.1,96.0%,6.1,5.4,1.73,0.73,2.87,2.53,25.5
2018,勇士,22,22,38.5,8.6-19.6,44.0%,4.2-11.1,38.0%,6.7-7.1,94.0%,6.0,5.7,1.09,0.18,3.00,3.09,28.2
2021,勇士,22,18,34.7,9.2-20.0,46.0%,4.1-10.4,40.0%,4.9-5.9,83.0%,5.2,5.9,1.32,0.36,2.59,2.68,27.4
2022,勇士,13,13,37.9,11.2-23.9,47.0%,4.4-12.1,36.0%,3.8-4.5,85.0%,5.2,6.1,1,0.46,3.23,2.62,30.5
